,N_index,GE,BOE,AJRD,LCKM,NRPGRM,ORB
24/05/2017,169,-0.015912306,0.009591803,0.009367681,0.006071275,0.010891682,0.020325614
23/05/2017,170,0.003548616,-0.000980019,0.003289474,0.004800924,0.004810583,0.004775452
22/05/2017,171,0.004634581,0.016098694,0.02901354,0.015543092,-0.001720826,0.012030848
19/05/2017,172,0.020742358,0.018940248,0.019221291,0.020462367,0.012151653,0.009445713
18/05/2017,173,0.002553812,-0.007718984,-0.004416094,-0.007131184,0.002273465,-0.002691511
17/05/2017,174,-0.022467903,-0.021455939,-0.014983084,-0.00887171,-0.004284906,-0.011157744
16/05/2017,175,-0.004968062,0.001699655,-0.006721075,-0.002570222,-0.003504532,0.003183405
15/05/2017,176,-0.003183587,-0.004693042,0.024090462,0.004018285,0.003232976,0.00495356
12/05/2017,177,-0.02078282,-0.003751223,-0.018339768,-0.003050461,-0.000282805,-0.025445037
11/05/2017,178,0.005923345,0.004148925,-0.00718735,0.001287996,-0.002377978,0.013660924
10/05/2017,179,-0.007950225,-0.019956129,-0.010900474,-0.007777413,-0.005531284,-0.003150407
09/05/2017,180,-0.004815961,0.004784432,-0.040909091,0.005027523,0.001404833,-0.001319395
08/05/2017,181,-0.00513347,0.005459164,-0.004074242,-0.001941179,0.000924029,-0.00101389
05/05/2017,182,0.000684932,0.010597039,0.002723559,0.009315737,0.012858596,0.003459151
04/05/2017,183,-0.001026343,-0.001744915,0.001819009,0.003375371,0.000977557,-0.013647767
03/05/2017,184,0.008278717,-0.000272569,-0.008566276,0.000408178,0.000733706,0.007889147
02/05/2017,185,0.001727713,0.005756895,-0.007606264,0.003948888,0.004051731,0.005389465
01/05/2017,186,-0.001724733,-0.01320132,-0.002677376,-0.003785489,-0.006586437,-0.006666667
28/04/2017,187,-0.003094911,0.00878725,-0.019685039,-0.006232942,-0.009822866,0.003039514
27/04/2017,188,-0.006151743,0.008309944,-0.003487358,0.002922138,0.001370636,0.000811194
26/04/2017,189,-0.006451613,-0.00980873,-0.010353753,0.001222132,-0.00028211,-0.004240711
25/04/2017,190,-0.003384095,0.007964407,0.013111888,-0.022410485,-0.004053946,0.005380164
24/04/2017,191,0,0.009313671,0.025549081,0.011424805,0.011407462,0.012643914
21/04/2017,192,-0.023785927,0.006023424,0.004502476,0.004561339,0.006044517,-0.006637394
20/04/2017,193,0.009,0.005044843,-0.009808292,0.008233505,0.004554033,0.011987186
19/04/2017,194,0.00536193,0.003092494,0.025605853,0.003162438,0.002302821,-0.003193243
18/04/2017,195,0.006747638,-0.006535583,0.011563367,-0.004075886,0.000329083,0.002167854
17/04/2017,196,0.00270636,0.019359982,0.019811321,0.007014925,0.012073272,0.016367642
13/04/2017,197,-0.007054081,-0.002442488,-0.007490637,-0.001899371,0.003509358,-0.012229247
12/04/2017,198,-0.008988016,-0.014112113,-0.017931034,-0.006512007,-0.007010994,-0.010257462
11/04/2017,199,0.000999667,0.005688218,0,0.004609151,0.007144648,-0.00439134
10/04/2017,200,0.000666889,-0.007212748,0.011627907,-0.004440662,0.002219338,-0.006795821
07/04/2017,201,0.002004678,0.008344139,0.007025761,0.011680581,0.009042126,0.024311688
06/04/2017,202,-0.001334668,0.001637678,0.010890152,0.000486928,0.002414231,0.000623765
05/04/2017,203,-0.001665556,-0.009065473,-0.022674688,-0.009571153,-0.006480391,-0.009983532
04/04/2017,204,0.004685408,0.011604868,0.021749409,0.003275272,-0.000714856,0.000102934
03/04/2017,205,0.002684564,-0.00118738,-0.025345622,0.004035874,-0.000126135,-0.008673469
31/03/2017,206,-0.002343488,-0.006292842,0.009302326,-0.010867155,-0.005103321,-0.013191018
30/03/2017,207,0.006401617,0.001970388,-0.005090236,0.008574411,0.01073905,0.009453141
29/03/2017,208,0.002025658,0.001522327,0.001390176,-0.003269917,-0.00282474,-0.004653986
28/03/2017,209,0.00611413,0.007155026,0.009354537,0.007336428,0.005766866,0.01395158
27/03/2017,210,-0.009421265,0.001592538,-0.001867414,-0.000972253,-0.004432624,-0.002864157
24/03/2017,211,0.003376097,-0.00812366,-0.010623557,-0.007717996,-0.010939457,-0.011726648
23/03/2017,212,0.003047748,0.0015821,0.008853681,0.000296934,-0.006801028,-0.006228652
22/03/2017,213,0.004763525,0.005796772,-0.008775982,0.001561338,0.005923578,0.002618856
21/03/2017,214,-0.011768662,-0.019120352,-0.036921708,-0.011138477,-0.013457344,-0.014003377
20/03/2017,215,-0.004685408,-0.003942254,-0.015330705,0.000183837,-0.005158649,-0.013906571
17/03/2017,216,0.004369748,0.010718896,0.023766816,0.015078003,0.016522391,0.009091807
16/03/2017,217,-0.000336022,-0.002909742,0.012715713,-0.005567102,-0.014599738,-0.002661147
15/03/2017,218,0.007447529,-0.000111901,0.006398537,0.005373134,0.000287156,0.013991605
14/03/2017,219,-0.010716678,-0.00178721,-0.008159565,-0.004420669,-0.002659357,0.003208342
13/03/2017,220,-0.013870542,0.00195859,0.004096495,0.001972754,0.003407365,0.002714386
10/03/2017,221,0.020903574,-0.010356095,-0.006781193,-7.44E-05,-0.002171063,0.001308637
09/03/2017,222,-0.004697987,-0.006437768,0.007285974,0.003585836,0.002258078,0.02602768
08/03/2017,223,-0.002009377,-0.001538292,-0.001818182,-0.004906334,-0.000861432,0.023900169
07/03/2017,224,-0.004666667,0.006024429,0.019462465,0.004930524,0.00354026,-0.001794574
06/03/2017,225,-0.003984064,-0.006861346,0.00372093,-0.000149388,-4.12E-05,0.002858353
03/03/2017,226,-0.002318649,-0.004426471,-0.004168597,0.002884003,-0.000575966,0.002653646
02/03/2017,227,0,-0.005002447,0.086562657,-0.005179223,-0.011629325,-0.004227883
01/03/2017,228,0.0127474,0.020418354,0.024755028,0.006752194,-0.004694646,0.02369617
28/02/2017,229,-0.004342017,0.004458563,-0.024647887,-0.01032076,-0.006074014,-0.011656507
27/02/2017,230,-0.008280888,0.011215059,0.032727273,0.012631579,0.014486839,0.018072945
24/02/2017,231,0.005662891,0.00327943,0.008381351,0.00434208,0.004879849,0.015702754
23/02/2017,232,-0.010220903,0.008553832,-0.008311688,-0.004023767,0.003621697,-0.015138314
22/02/2017,233,-0.006225426,-0.001139212,-0.004138645,0.000978695,-0.004669835,0.006577505
21/02/2017,234,0.004939085,0.01650165,-0.000517063,0.001168268,0.002216931,0.01899017
17/02/2017,235,-0.002627258,0.011123471,0.00363259,7.54E-05,0.000205314,0.001678416
16/02/2017,236,0.003294893,0.008919079,-0.001554404,0.007097852,0.008030134,0.002917742
15/02/2017,237,0.002311757,0.004747774,0.003118503,0.003427788,0.00822135,-0.000448682
14/02/2017,238,0.007989348,0.00279712,0,0.000800457,0.002258658,0.001122965
13/02/2017,239,0.01076716,0.01082837,0.001561687,0.006908463,0.011978836,-0.000224542
10/02/2017,240,0.004393376,0.011869978,0.011585045,0.009101472,0.006004088,0.016432729
09/02/2017,241,0.005436629,0.002869178,0.016051364,0.005686687,0.010412185,0.004010082
08/02/2017,242,-0.004397835,-0.016156156,-0.001068947,0.001443227,-0.00240364,-0.010543022
07/02/2017,243,-0.003371544,0.015367728,0.006996771,0.004151815,0.000687226,0.000453669
06/02/2017,244,-0.001346801,0.009729064,-0.000537924,0.003340407,0.006310512,0.000453875
03/02/2017,245,0.000673854,0.000862813,0.023678414,0.009882129,0.006569502,0.015088689
02/02/2017,246,-0.000336814,-0.010428737,0.011135857,0.004264647,0.004501355,-0.005953744
