,N_index,NYSE:EGL Open,NYSE:EGL High,NYSE:EGL Low,NYSE:EGL Close,NYSE:BA Open,NYSE:BA High,NYSE:BA Low,NYSE:BA Close,NYSE:TGI Open,NYSE:TGI High,NYSE:TGI Low,NYSE:TGI Close,NYSE:LMT Open,NYSE:LMT High,NYSE:LMT Low,NYSE:LMT Close,NYSE:NOC Open,NYSE:NOC High,NYSE:NOC Low,NYSE:NOC Close,NYSE:OA Open,NYSE:OA High,NYSE:OA Low,NYSE:OA Close
14-Feb-17,221,30.56,30.90,30.24,30.65,167.70,168.80,167.22,168.5,27.55,27.65,26.9,27.2,262.19,263.16,261.85,262.56,239.01,240.33,238.43,239.62,88.60,89.17,88.39,89.15
13-Feb-17,222,30.83,31.12,30.5,30.64,166.45,169.07,166.35,168.03,28.15,28.40,27.5,27.7,261.05,263.11,261.02,262.35,237.05,239.85,236.52,239.08,89.29,89.96,88.91,89.05
10-Feb-17,223,29.59,30.76,29.53,30.47,165.25,166.45,164.47,166.23,28.20,28.50,28.05,28.2,258.48,260.92,258.00,260.55,234.58,236.56,234.07,236.25,88.00,89.38,87.92,89.07
9-Feb-17,224,29.55,30.27,28.74,29.33,164.67,165.09,164.06,164.28,27.90,28.65,27.65,27.75,256.80,259.04,256.80,258.2,232.58,235.38,231.98,234.84,87.41,88.52,87.41,87.63
8-Feb-17,225,29.24,29.43,28.2,28.42,165.00,165.24,163.69,163.81,28.10,28.15,27.4,27.8,256.93,257.81,256.40,256.74,232.91,233.41,232.26,232.42,88.03,88.29,87.08,87.28
7-Feb-17,226,29.14,29.75,29.09,29.45,165.00,167.42,164.87,166.5,28.30,28.45,27.6,28.35,256.00,257.3,255.58,256.37,232.33,233.87,232.1,232.98,88.25,88.72,87.89,88.21
6-Feb-17,227,29.39,29.69,29.09,29.24,162.42,164.08,162.38,163.98,28.05,28.75,27.7,27.95,254.43,257.07,254.11,255.31,231.56,233.43,231.41,232.82,88.03,89.05,88.03,88.17
3-Feb-17,228,29.37,29.87,29.16,29.56,162.99,163.56,162.31,162.4,27.50,29.00,27.15,28.9,252.67,256.46,251.50,254.46,230.06,232.93,229.51,231.36,87.20,88.45,87.2,88.13
2-Feb-17,229,29.19,29.35,28.91,29.13,163.22,163.97,160.82,162.26,27.40,27.75,26.4,27.45,250.90,252.16,250.34,251.97,228.40,230.14,227.92,229.85,87.01,87.33,85.91,86.82
1-Feb-17,230,29.56,30.01,28.86,29.16,164.25,165.81,163.12,163.97,27.25,27.45,26.12,27.4,250.83,252.56,249.98,250.9,228.72,230.15,227.73,228.82,87.30,87.75,86.62,87.34
31-Jan-17,231,29.19,29.59,28.8,29.33,164.96,165.10,163.22,163.42,25.75,26.95,25.0,26.75,252.32,252.5,249.96,251.33,227.89,229.72,226.0,229.08,86.84,87.24,85.51,86.95
30-Jan-17,232,30.07,30.07,29.16,29.37,165.92,165.99,163.82,165.57,25.55,26.30,25.1,26.0,254.33,256.28,251.88,252.83,230.10,231.84,227.84,229.48,87.36,87.43,86.43,87.25
27-Jan-17,233,30.74,30.90,30.31,30.64,169.21,169.80,167.01,167.7,25.75,25.95,25.45,25.9,254.98,259.12,250.13,253.5,227.03,234.58,227.03,229.83,87.68,88.75,87.61,87.8
26-Jan-17,234,31.30,31.44,30.64,30.87,167.25,170.00,167.25,169.12,26.15,26.30,25.25,25.65,250.00,254.99,249.55,254.97,229.21,230.84,223.88,226.96,88.23,88.92,87.41,87.76
25-Jan-17,235,31.85,32.15,31.25,31.28,163.59,168.65,163.24,167.36,25.45,26.30,25.2,26.0,253.06,254.33,248.00,251.0,233.19,233.24,230.01,230.84,88.78,89.08,87.99,88.16
24-Jan-17,236,30.85,31.63,30.71,31.39,158.58,160.93,157.84,160.55,24.20,25.45,24.0,24.9,250.38,253.45,249.02,252.91,229.40,232.95,227.49,232.59,88.29,89.67,86.95,88.67
23-Jan-17,237,31.57,31.87,30.56,30.85,158.94,159.50,157.29,157.84,24.40,24.75,23.45,23.95,258.15,259.74,255.02,257.48,233.00,233.34,230.13,231.69,88.46,88.55,87.25,88.46
20-Jan-17,238,32.01,32.10,31.4,31.67,159.81,160.30,158.23,159.53,25.75,25.95,24.4,24.6,257.96,258.08,256.10,257.73,233.11,233.16,230.76,232.11,88.96,89.42,87.7,88.15
19-Jan-17,239,31.95,32.03,31.19,31.95,158.87,159.87,157.91,159.0,25.35,25.70,24.65,25.65,255.57,257.44,255.19,257.03,231.26,233.79,230.1,232.39,88.16,89.25,88.0,88.83
18-Jan-17,240,32.12,32.16,31.39,31.81,157.55,159.05,156.75,158.32,25.45,25.90,25.15,25.35,254.10,254.73,252.94,254.07,228.46,231.08,228.0,230.24,87.83,88.49,87.14,87.32
17-Jan-17,241,32.18,33.09,31.29,32.02,158.20,159.04,157.23,157.67,26.90,26.95,25.1,25.45,253.46,254.34,252.06,254.12,230.78,230.78,227.43,228.48,88.26,88.43,87.11,87.64
13-Jan-17,242,32.77,33.17,32.22,32.51,158.74,159.58,158.34,158.83,26.70,27.50,26.65,26.95,252.74,255.95,252.02,254.53,229.00,230.99,228.5,230.17,89.22,89.77,88.74,88.97
12-Jan-17,243,32.92,32.95,31.96,32.64,159.15,159.16,156.67,158.29,26.90,26.90,25.65,26.55,254.91,255.33,251.31,252.62,231.38,231.79,227.87,229.15,88.63,89.19,87.93,89.06
